-- using 1115013950 as a seed to the RNG
-- @(#)11.sql	2.1.8.1
-- TPC-H/TPC-R Important Stock Identification Query (Q11)
-- Functional Query Definition
-- Approved February 1998
START TRANSACTION;



select
	ps_partkey,
	sum(ps_supplycost * ps_availqty) as value
from
	partsupp,
	supplier,
	nation
where
	ps_suppkey = s_suppkey
	and s_nationkey = n_nationkey
	and n_name = 'PERU'
group by
	ps_partkey having
		sum(ps_supplycost * ps_availqty) > (
			select
				sum(ps_supplycost * ps_availqty) * 0.0000100000
			from
				partsupp,
				supplier,
				nation
			where
				ps_suppkey = s_suppkey
				and s_nationkey = n_nationkey
				and n_name = 'PERU'
		)
order by
	value desc;
COMMIT;
ps_partkey	value
1895890	19569674.08
570787	18305290.05
1237105	18002948.71
1367979	17978443.64
1889074	17491174.95
1636940	17407262.35
1250679	17344485.19
633915	17321181.19
1619989	17236961.71
1949524	17152955.02
435540	17128327.92
1463021	16891285.30
614556	16815477.70
1356071	16789308.78
1001466	16760037.04
1840717	16733663.74
1117507	16430263.35
1555966	16423743.96
223994	16401411.78
898300	16373474.40
987963	16361603.88
1729264	16329305.87
393232	16297715.28
1804517	16246209.54
9469	16106655.14
1547611	16058608.60
1761106	16043090.83
1109974	16032977.66
1117479	16025887.00
1693523	15995465.52
296848	15963767.96
1134410	15933036.30
1079598	15896277.05
1464049	15861287.21
1771505	15839477.76
586375	15771468.19
606182	15742153.86
1799002	15741726.91
365049	15732633.11
884360	15682337.20
1597493	15628597.22
1022601	15526615.25
644841	15513818.30
907179	15474575.17
574005	15468472.38
1368301	15464182.20
1484556	15454868.04
252830	15434125.62
1640688	15421872.12
1421539	15400385.08
190965	15397284.68
1016154	15365869.74
419964	15351255.15
1978608	15338623.27
626317	15336712.00
520797	15336183.68
872643	15313762.53
505125	15298512.96
1455643	15249468.37
383420	15161454.59
966352	15113217.13
456752	15086288.14
1712738	15069880.36
132033	15060959.54
21333	15034837.97
458903	15029755.57
1508301	14990257.60
51587	14984121.58
24591	14934914.44
1440235	14928040.17
1797487	14909129.61
713731	14904157.77
1174357	14887486.82
1541079	14880726.24
405958	14841635.66
588677	14840804.46
1851478	14831711.07
1232339	14830768.60
105096	14809899.70
927218	14803938.66
234457	14792331.48
1256720	14735565.78
91176	14689848.20
1138488	14676328.05
766263	14659594.55
675587	14650818.00
963325	14646083.53
481551	14598452.37
777314	14594907.20
1372283	14594075.10
1683614	14590330.71
1478764	14579448.90
1389536	14545010.65
1308415	14541651.26
30025	14539014.60
1482126	14534823.00
463643	14530762.00
1572415	14530635.84
175752	14526223.66
1651440	14506012.80
1472458	14500072.54
1904515	14478145.93
1444446	14461960.64
1306318	14453656.09
547598	14450412.14
43961	14436785.82
1686972	14400777.95
1967027	14392259.58
200778	14370903.28
320986	14362116.89
685763	14350103.69
1188775	14332931.74
1347560	14320048.36
1584679	14315824.50
1613103	14295500.67
1854823	14271693.24
422037	14261447.95
397517	14258893.34
201474	14222541.41
774045	14218101.15
917766	14211672.23
1111649	14202410.59
784606	14185249.97
1467890	14142330.18
630800	14124658.27
1078218	14115259.12
1417322	14086654.79
792882	14073597.90
57527	14058438.03
449476	14040753.24
1992594	14028991.87
1722987	14022774.76
656730	14018476.23
718606	14002943.00
793986	13990361.81
1891352	13990225.68
1209491	13986680.70
1866240	13977542.68
503234	13956379.29
956961	13952595.45
461396	13946792.34
118353	13944061.72
1840922	13933716.23
284254	13929717.28
339030	13927247.47
326716	13924024.57
1296399	13904288.94
1197071	13850187.60
390504	13839839.22
406094	13837490.46
560542	13835853.98
313628	13816286.62
591950	13799208.78
1027899	13765458.61
20393	13750326.06
454167	13741242.05
1111292	13736067.09
889608	13735206.66
1548411	13731911.40
424045	13723055.19
401325	13717107.04
1987384	13705335.06
1384479	13698131.08
1402384	13695584.62
1918864	13686690.41
1690231	13684038.11
1056906	13678250.64
1859666	13668420.02
431276	13667852.27
849355	13659834.09
